permalink,name,market,status,funding_total_usd
/organization/9mile-labs,9Mile Labs,software,operating," 9,00,000 "
/organization/9sky-com,9sky.com,photography,operating," 1,00,00,000 "
/organization/9slides,9SLIDES,enterprise software,operating," 9,25,000 "
/organization/9star-research,9Star Research,software,operating," 4,35,400 "
/organization/9tong-com,9tong.com,mobile,operating, -   
/organization/9you,9You,games,operating," 10,00,00,000 "
/organization/pay-mobile-checkout,@Pay,mobile payments,operating," 35,00,000 "
/organization/artsys360,A,security,operating," 4,50,000 "
/organization/a-and-a-travel-service,A and A Travel Service,travel & tourism,operating, -   
/organization/a-better-tomorrow-treatment-center,A Better Tomorrow Treatment Center,health and wellness,operating, -   
/organization/a-crowd-of-monsters,A Crowd of Monsters,games,operating," 5,60,248 "
/organization/a-curated-world,A Curated World,e-commerce,operating," 50,000 "
/organization/a-family-first-community-services,A Family First Community Services,health and wellness,operating," 5,00,000 "
/organization/a-fourth-act,A Fourth Act,creative,operating, -   
/organization/a-la-mobile,A la Mobile,mobile,operating," 75,50,000 "
/organization/a-little-world,A LITTLE WORLD,finance,operating," 64,10,000 "
/organization/a-pooches-pleasure,A Pooches Pleasure,hospitality,operating, -   
/organization/a-smarter-city,A Smarter City,software,closed," 15,000 "
/organization/a-vida-feita-de-desconto,A vida é feita de Desconto,coupons,operating," 2,500 "
/organization/a-a-manufacturing,A&A Manufacturing,water purification,operating," 11,00,00,000 "
/organization/a-e-complete-home-services,A&E Complete Home Services,consulting,operating, -   
/organization/a-g-pharmaceutical,A&G Pharmaceutical,biotechnology,operating," 21,00,002 "
/organization/as-child,A's Child,twitter applications,operating," 43,138 "
/organization/a-gas,A-Gas,clean technology,operating," 11,58,37,966 "
/organization/a-life-medical,A-Life Medical,biotechnology,acquired," 30,00,000 "
/organization/a-star,A-STAR,software,operating, -   
/organization/a-tex,A-TEX,fashion,operating, -   
/organization/a-vu-media,A-Vu Media,health and wellness,operating," 2,50,000 "
/organization/a-b-productions,A.B Productions,news,operating, -   
/organization/ac-moore-craft-store,A.C. Moore,e-commerce,operating," 1,00,00,000 "
